Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Amazon Route 53,0,183,2196,USD,"Hosted Zones (1), Basic Checks Within AWS (1), Number of Elastic Network Interfaces (2)"
My Estimate,US East (N. Virginia),,Network Load Balancer,0,147.83,1773.96,USD,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (30 GB per hour), Average number of new TCP connections (100 per second), Average TCP connection duration (3 minutes)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,235.43,2825.16,USD,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),,Amazon EC2,0,9059.04,108708.48,USD,"Operating system (Linux), Quantity (6), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (1 TB), Instance type (c5.18xlarge)"
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,10239.64,122875.68,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (30 GB), Quantity (2), Instance type (db.m4.10xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (N. Virginia),,S3 Standard,0,2.3,27.6,USD,S3 Standard storage (100 GB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0,USD,
My Estimate,US East (N. Virginia),,VPN Connection,0,73,876,USD,"Working days per month (22), Number of Site-to-Site VPN Connections (2)"
,,,,,,,,
,,,,,,,,
,,,,,,,,
Acknowledgement,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,
I spend more money on EC2 and RDS for better performance.,,,,,,,,
